Puskesmas,Dimensi,z,p_value,Kesimpulan
Jemursari,Reliability,-1.596,0.1104,Gagal tolak H0 (setara)
Kalijudan,Reliability,-0.034,0.9728,Gagal tolak H0 (setara)
Kebonsari,Reliability,1.612,0.107,Gagal tolak H0 (setara)
Kedurus,Reliability,-0.475,0.6347,Gagal tolak H0 (setara)
Keputih,Reliability,-1.204,0.2287,Gagal tolak H0 (setara)
Klampis  Ngasem,Reliability,1.187,0.2351,Gagal tolak H0 (setara)
Made,Reliability,-1.635,0.102,Gagal tolak H0 (setara)
Menur,Reliability,0.962,0.3359,Gagal tolak H0 (setara)
Morokrembangan,Reliability,-2.251,0.0244,Tolak H0 — lebih jarang dikeluhkan
Mulyorejo,Reliability,0.958,0.3382,Gagal tolak H0 (setara)
Ngagel  Rejo,Reliability,0.277,0.7821,Gagal tolak H0 (setara)
Pakis,Reliability,1.046,0.2954,Gagal tolak H0 (setara)
Putat  Jaya,Reliability,1.783,0.0746,Gagal tolak H0 (setara)
Sawah  Pulo,Reliability,0.715,0.4748,Gagal tolak H0 (setara)
Sawahan,Reliability,-1.553,0.1203,Gagal tolak H0 (setara)
Sidosermo,Reliability,-0.907,0.3644,Gagal tolak H0 (setara)
Siwalankerto,Reliability,2.568,0.0102,Tolak H0 — lebih sering dikeluhkan
Tambak  Wedi,Reliability,1.546,0.122,Gagal tolak H0 (setara)
Wiyung,Reliability,-1.006,0.3143,Gagal tolak H0 (setara)
Wonokromo,Reliability,2.229,0.0258,Tolak H0 — lebih sering dikeluhkan
Asemrowo,Reliability,0.761,0.4469,Gagal tolak H0 (setara)
Balongsari,Reliability,0.797,0.4254,Gagal tolak H0 (setara)
Benowo,Reliability,0.071,0.9432,Gagal tolak H0 (setara)
Dr Soetomo,Reliability,-2.359,0.0183,Tolak H0 — lebih jarang dikeluhkan
Dupak,Reliability,0.721,0.4707,Gagal tolak H0 (setara)
Gading,Reliability,-0.525,0.5996,Gagal tolak H0 (setara)
Gundih,Reliability,-0.413,0.6793,Gagal tolak H0 (setara)
Jeruk,Reliability,0.543,0.5872,Gagal tolak H0 (setara)
Kalirungkut,Reliability,0.738,0.4607,Gagal tolak H0 (setara)
Kedungdoro,Reliability,0.958,0.3382,Gagal tolak H0 (setara)
Kenjeran,Reliability,-0.742,0.4582,Gagal tolak H0 (setara)
Ketabang,Reliability,1.719,0.0857,Gagal tolak H0 (setara)
Krembangan Selatan,Reliability,-0.714,0.4755,Gagal tolak H0 (setara)
Lidah Kulon,Reliability,0.388,0.6981,Gagal tolak H0 (setara)
Lontar,Reliability,0.34,0.7341,Gagal tolak H0 (setara)
Manukan Kulon,Reliability,2.475,0.0133,Tolak H0 — lebih sering dikeluhkan
Medokan Ayu,Reliability,1.229,0.2189,Gagal tolak H0 (setara)
Mojo,Reliability,0.141,0.8875,Gagal tolak H0 (setara)
Pacar Keling,Reliability,1.534,0.1251,Gagal tolak H0 (setara)
Pegirian,Reliability,0.253,0.8005,Gagal tolak H0 (setara)
Peneleh,Reliability,-0.355,0.7222,Gagal tolak H0 (setara)
Perak Timur,Reliability,-0.924,0.3557,Gagal tolak H0 (setara)
Pucangsewu,Reliability,2.469,0.0136,Tolak H0 — lebih sering dikeluhkan
Rangkah,Reliability,1.559,0.1189,Gagal tolak H0 (setara)
Sememi,Reliability,0.302,0.7623,Gagal tolak H0 (setara)
Sidotopo,Reliability,-1.02,0.3078,Gagal tolak H0 (setara)
Sidotopo Wetan,Reliability,-1.352,0.1764,Gagal tolak H0 (setara)
Simolawang,Reliability,1.26,0.2078,Gagal tolak H0 (setara)
Simomulyo,Reliability,-0.359,0.7198,Gagal tolak H0 (setara)
Tambakrejo,Reliability,-1.303,0.1927,Gagal tolak H0 (setara)
Tanah Kali Kedinding,Reliability,1.033,0.3016,Gagal tolak H0 (setara)
Tanjungsari,Reliability,0.321,0.7484,Gagal tolak H0 (setara)
