term,z_score,n_neg,n_pos
asn,-1.22,12,7
tekanan darah,-1.22,13,8
haha,-1.22,13,8
dibalas,-1.22,15,10
ucapan,-1.22,13,8
5s,-1.22,13,8
urat,-1.22,14,9
mundur,-1.22,12,7
ugd,-1.21,98,115
empati,-1.2,24,20
ramah lagi,-1.18,22,18
harapan,-1.18,33,31
kalinya,-1.18,28,25
lama petugas,-1.18,22,18
periksanya,-1.18,22,18
ataupun,-1.17,37,36
komen,-1.16,20,16
silahkan,-1.16,20,16
pembayaran,-1.14,35,34
dibuatkan,-1.14,18,14
mendengar,-1.14,18,14
ditambal,-1.14,18,14
rekan,-1.13,17,13
mencoba,-1.13,17,13
sekaligus,-1.13,17,13
petugas jaga,-1.12,16,12
bertanggung,-1.12,16,12
daftarnya,-1.12,16,12
awal pendaftaran,-1.12,16,12
bertanggung jawab,-1.11,15,11
lagii,-1.11,15,11
sewaktu,-1.1,13,9
dibedakan,-1.1,13,9
benjolan,-1.1,14,10
istri periksa,-1.1,13,9
rumit,-1.1,13,9
masnya,-1.1,14,10
mohon tingkatkan,-1.1,13,9
kemungkinan,-1.1,14,10
dsb,-1.1,14,10
dikenakan,-1.1,13,9
dokter memeriksa,-1.09,11,7
asam urat,-1.09,12,8
dr pemerintah,-1.09,11,7
kirain,-1.09,11,7
resmi,-1.09,10,6
tertutup,-1.09,12,8
kira2,-1.09,12,8
dokter masih,-1.09,10,6
obat sesuai,-1.09,12,8
nge,-1.09,11,7
khususnya bagian,-1.09,10,6
senyumnya,-1.09,11,7
berkomunikasi,-1.09,11,7
aktivitas,-1.09,11,7
dibagian pendaftaran,-1.09,12,8
bayarnya,-1.09,10,6
nomor dipanggil,-1.09,10,6
dokter bagian,-1.09,11,7
ditanggapi,-1.09,10,6
akui,-1.09,11,7
hujan,-1.09,12,8
kmrn,-1.08,21,18
bagian farmasi,-1.08,56,62
tumbuh,-1.08,21,18
yaitu,-1.07,26,24
berusaha,-1.07,20,17
tbc,-1.06,25,23
apalagi bagian,-1.04,24,22
penilaian,-1.03,23,21
steril,-1.03,17,14
kali datang,-1.03,28,27
sesuai nomor,-1.03,28,27
pemeriksaan umum,-1.03,23,21
jawa,-1.03,17,14
lewat,-1.03,102,126
online datang,-1.03,23,21
ditangani,-1.02,99,122
cukup lama,-1.01,16,13
peserta bpjs,-1.0,15,12
jarum,-1.0,15,12
perihal,-1.0,15,12
penerimaan,-0.99,14,11
ambil online,-0.99,14,11
baru periksa,-0.99,14,11
cek kehamilan,-0.99,14,11
first time,-0.99,14,11
kesabaran,-0.99,14,11
lama lama,-0.98,20,18
ank,-0.98,29,29
berlaku,-0.98,20,18
rs swasta,-0.98,13,10
jenis,-0.97,19,17
dihubungi,-0.97,24,23
system,-0.97,12,9
mengingat,-0.97,12,9
lagi biar,-0.97,12,9
periksa anak,-0.97,24,23
bulannya,-0.97,12,9
administrasi,-0.96,89,110
pendidikan,-0.96,11,8
gede,-0.96,11,8
kalah,-0.96,28,28
jahitan,-0.96,11,8
konsumsi,-0.96,11,8
dipendaftaran,-0.95,10,7
biru,-0.95,10,7
apa masih,-0.95,10,7
batas,-0.95,10,7
kuliah,-0.95,18,16
masuk gigi,-0.95,10,7
triage,-0.95,10,7
lama ternyata,-0.95,10,7
nenek,-0.95,10,7
diajari,-0.95,10,7
ternyata dokter,-0.95,10,7
bagian administrasi,-0.95,18,16
menular,-0.95,10,7
hamil,-0.95,305,423
sepanjang,-0.94,9,6
sesuai tertera,-0.94,9,6
sakit langsung,-0.94,9,6
semrawut,-0.94,9,6
sesuai no,-0.93,17,15
suatu,-0.92,16,14
form,-0.92,16,14
menggunakan bpjs,-0.92,33,35
sertifikat,-0.9,32,34
rujukannya,-0.9,15,13
membawa,-0.9,35,38
menurut,-0.89,101,129
pas periksa,-0.88,14,12
sy periksa,-0.88,14,12
sehari,-0.88,27,28
balita,-0.87,57,68
berulang,-0.87,13,11
sebuah,-0.87,13,11
kuku,-0.87,13,11
apalgi,-0.87,13,11
jum at,-0.87,13,11
mbak²,-0.87,13,11
wib,-0.87,23,23
sempet,-0.86,26,27
kk,-0.86,42,48
saudara,-0.86,26,27
gigi berlubang,-0.86,18,17
peduli,-0.86,42,48
jasa,-0.86,18,17
jaman,-0.86,26,27
admin,-0.85,61,74
lahh,-0.85,12,10
privasi,-0.85,12,10
pesan,-0.85,12,10
lainya,-0.84,17,16
air,-0.84,35,39
pendaftaran petugas,-0.83,11,9
datangi,-0.83,11,9
kurangnya,-0.83,11,9
sd,-0.83,21,21
bernama,-0.83,11,9
mengatasi,-0.83,11,9
lbih,-0.83,11,9
sering,-0.83,151,203
ketiga,-0.83,11,9
linmas,-0.83,21,21
masih buka,-0.83,11,9
rt,-0.83,11,9
banyumanik,-0.83,11,9
terkena,-0.82,16,15
darahnya,-0.81,20,20
masih kurang,-0.81,20,20
kesembuhan,-0.8,9,7
berulang kali,-0.8,9,7
02,-0.8,9,7
warna,-0.8,15,14
nama dokternya,-0.8,9,7
makin lama,-0.8,9,7
puskesma,-0.8,9,7
pimpinan,-0.8,9,7
berjaga,-0.8,9,7
kia hamil,-0.8,9,7
penumpukan,-0.8,9,7
cari surat,-0.8,9,7
bentuk,-0.8,9,7
tepatnya,-0.8,9,7
sebaik,-0.8,9,7
tanggapan,-0.8,9,7
hasil pemeriksaan,-0.8,15,14
dunia,-0.8,9,7
langsung datang,-0.8,9,7
karang,-0.8,63,78
profesi,-0.8,9,7
super duper,-0.8,15,14
07 00,-0.79,19,19
pintu masuk,-0.79,26,28
ktp surabaya,-0.79,19,19
salah satu,-0.78,98,128
mengurus surat,-0.78,22,23
antar,-0.78,46,55
tiga,-0.78,14,13
beres,-0.78,14,13
pernah periksa,-0.78,29,32
bpjsnya,-0.78,14,13
betul,-0.77,25,27
tes kesehatan,-0.77,18,18
periksa umum,-0.77,25,27
sdah,-0.76,13,12
tangga,-0.76,13,12
03,-0.76,13,12
adek,-0.76,28,31
berikutnya,-0.75,17,17
security,-0.75,17,17
untk,-0.75,17,17
praktek,-0.75,42,50
anak rewel,-0.74,12,11
saking,-0.74,12,11
lelah,-0.73,16,16
tentu,-0.73,16,16
arah,-0.73,20,21
persyaratan,-0.73,16,16
jogja,-0.72,11,10
2022,-0.72,26,29
profesional dalam,-0.72,11,10
periksa lagi,-0.72,11,10
ambulan,-0.72,11,10
duper,-0.71,15,15
wajar,-0.71,45,55
pasca,-0.71,15,15
kelurahan,-0.7,47,58
hati,-0.7,256,364
nomor pendaftaran,-0.69,10,9
baik apa,-0.69,10,9
menggunakan,-0.69,87,115
diterapkan,-0.69,10,9
dipercepat,-0.69,10,9
my,-0.69,18,19
sekelas,-0.68,21,23
skrg,-0.68,75,98
estimasi,-0.68,58,74
permintaan,-0.68,14,14
yaaa,-0.68,30,35
administrasinya,-0.68,14,14
bersabar,-0.67,9,8
daftar dulu,-0.67,9,8
tanpa bpjs,-0.67,9,8
kali priksa,-0.67,9,8
memperhatikan,-0.66,20,22
lama2,-0.66,13,13
jauh jauh,-0.66,13,13
btw,-0.66,13,13
sejak,-0.66,45,56
pukul 07,-0.66,13,13
bpjs aktif,-0.66,17,18
vaksin dosis,-0.66,17,18
skg,-0.65,8,7
gula darah,-0.65,23,26
internet,-0.65,8,7
bukan ktp,-0.65,8,7
respect,-0.65,8,7
keluhan langsung,-0.65,8,7
mbaknya,-0.65,34,41
kemarin,-0.65,115,157
antriannya,-0.65,106,144
april,-0.65,23,26
periksa disana,-0.65,8,7
ontime,-0.65,8,7
mengabdi,-0.65,8,7
anti,-0.64,16,17
catatan,-0.63,12,12
sebesar,-0.63,12,12
dsini,-0.63,12,12
santun,-0.62,62,81
wah,-0.61,15,16
at,-0.61,24,28
first,-0.61,18,20
suster,-0.6,54,70
ramah datang,-0.6,11,11
khusus,-0.6,61,80
dipanggil sesuai,-0.6,11,11
samping,-0.59,14,15
makanan,-0.59,39,49
tadinya,-0.59,14,15
19,-0.59,39,49
lama periksa,-0.58,10,10
penderita,-0.58,10,10
tambahan,-0.58,17,19
polio,-0.58,17,19
pembantu,-0.58,10,10
koordinasi,-0.58,10,10
contoh,-0.57,28,34
ttg,-0.57,25,30
kontrol hamil,-0.56,13,14
belit,-0.56,13,14
dilakukan,-0.56,72,97
singkat,-0.56,13,14
whatsapp,-0.56,13,14
pertanyaan,-0.56,56,74
bagian obat,-0.56,13,14
diresepkan,-0.55,9,9
ambil rujukan,-0.55,9,9
ama,-0.55,19,22
rada,-0.55,9,9
rasa sakit,-0.55,9,9
bkia,-0.55,9,9
km,-0.55,9,9
berobat lagi,-0.55,9,9
awalnya,-0.55,51,67
cover,-0.55,9,9
unit,-0.55,16,18
online lewat,-0.55,9,9
periksa pertama,-0.55,9,9
repot,-0.55,9,9
ispa,-0.55,9,9
100,-0.55,16,18
secara baik,-0.55,9,9
besar,-0.54,115,161
dokter menangani,-0.53,12,13
pintar,-0.53,12,13
sementara,-0.53,21,25
sarankan,-0.53,18,21
obat diberikan,-0.53,12,13
mengetahui,-0.53,12,13
pengarahan,-0.53,18,21
anak berobat,-0.52,8,8
hallo,-0.52,8,8
tks,-0.52,8,8
nb,-0.52,8,8
masukan,-0.52,52,69
feb,-0.52,8,8
tadi periksa,-0.52,8,8
langsung panggil,-0.52,8,8
lansia,-0.52,168,241
pas datang,-0.52,8,8
awal datang,-0.52,15,17
kia periksa,-0.52,8,8
kipas,-0.52,38,49
sihh,-0.52,8,8
berikut,-0.52,8,8
30 11,-0.52,8,8
secepat,-0.52,8,8
kesan pertama,-0.52,8,8
sawahan,-0.52,15,17
perjalanan,-0.52,8,8
gawat,-0.52,15,17
masuk langsung,-0.52,8,8
menyeluruh,-0.52,8,8
halo,-0.5,11,12
serasa,-0.5,11,12
alangkah baiknya,-0.5,11,12
paru,-0.5,11,12
alangkah,-0.49,14,16
sistem online,-0.49,14,16
pastinya,-0.49,14,16
penyampaian,-0.48,29,37
ajak,-0.48,19,23
petugas pendaftaran,-0.48,65,89
anak imunisasi,-0.47,16,19
prioritas,-0.46,10,11
obatnya,-0.46,145,209
sapa,-0.46,21,26
duduknya,-0.46,10,11
nyoba,-0.46,10,11
bnyk,-0.46,26,33
anak periksa,-0.46,13,15
ramah lama,-0.46,13,15
dirujuk rs,-0.46,10,11
ramah mohon,-0.46,13,15
efektif,-0.46,21,26
infonya,-0.45,18,22
datang berobat,-0.45,18,22
aplikasi,-0.45,35,46
apalagi kia,-0.44,15,18
asisten,-0.44,15,18
dsni,-0.44,15,18
petugas loketnya,-0.43,9,10
asyik,-0.43,9,10
nemu,-0.43,9,10
satpamnya,-0.43,9,10
pengambilan nomor,-0.43,9,10
terutama bagian,-0.43,34,45
tembok dukuh,-0.43,12,14
dilayanin,-0.43,12,14
saran baik,-0.43,9,10
bagian lab,-0.42,17,21
baru pertama,-0.42,74,104
next,-0.42,17,21
datang langsung,-0.41,24,31
baik mohon,-0.4,11,13
harinya,-0.4,11,13
adminnya,-0.4,11,13
karyawan,-0.4,131,190
anak kia,-0.4,11,13
bpjs umum,-0.4,11,13
karang gigi,-0.4,46,63
melakukan tindakan,-0.4,11,13
ktp luar,-0.4,26,34
teman,-0.4,46,63
petugas parkir,-0.39,8,9
transparan,-0.39,8,9
jalannya,-0.39,8,9
sendirian,-0.39,8,9
lgs,-0.39,8,9
mengisi,-0.39,8,9
bungsu,-0.39,8,9
ditambah,-0.39,54,75
nganterin,-0.39,8,9
diambil,-0.39,28,37
terutama dokternya,-0.39,8,9
membersihkan,-0.39,16,20
ramah pas,-0.39,8,9
hormat,-0.39,8,9
nunggu terlalu,-0.39,8,9
mari,-0.39,8,9
prosedur,-0.38,80,114
th,-0.37,13,16
tembok,-0.37,18,23
they,-0.37,13,16
bagian pengambilan,-0.36,10,12
bner,-0.36,10,12
direspon,-0.36,10,12
daerah,-0.36,42,58
dasar,-0.36,20,26
senyum salam,-0.35,7,8
kalirungkut,-0.35,15,19
surabaya,-0.35,182,270
resiko,-0.35,15,19
keluh,-0.35,7,8
selebihnya,-0.35,15,19
gaperlu,-0.35,7,8
pendaftaran depan,-0.35,7,8
menunjukkan,-0.34,17,22
akar,-0.34,12,15
lupa,-0.33,63,90
sekitar,-0.33,114,167
sampah,-0.32,14,18
kedungdoro,-0.32,9,11
kecepatan,-0.32,9,11
kondisi gigi,-0.32,9,11
playanan,-0.32,14,18
pukesmas,-0.32,115,169
pemeriksaan dokter,-0.32,9,11
pengertian,-0.32,9,11
bnget,-0.31,16,21
tegas,-0.31,16,21
24,-0.31,101,148
bersihkan karang,-0.3,11,14
ribet,-0.3,133,197
tambah,-0.3,133,197
berat badan,-0.3,11,14
berbelit belit,-0.3,11,14
mempunyai,-0.3,11,14
wiyung,-0.3,29,40
dokter dokter,-0.29,20,27
berbelit,-0.29,22,30
kenyamanan,-0.28,24,33
pembersihan,-0.28,13,17
pusat,-0.27,56,81
lama dokternya,-0.27,8,10
keluarga,-0.27,81,119
jumlah,-0.27,15,20
perpanjangan rujukan,-0.27,15,20
efek,-0.27,8,10
imunisasi bayi,-0.27,8,10
putri,-0.27,8,10
periksa kehamilan,-0.27,34,48
update,-0.26,21,29
berkenan,-0.26,10,13
psikolognya,-0.26,10,13
petugas lab,-0.25,27,38
baiknya,-0.25,29,41
time,-0.25,27,38
lgsung,-0.24,12,16
luar surabaya,-0.24,12,16
urin,-0.24,12,16
dibanding,-0.24,14,19
arahan,-0.24,66,97
nggih,-0.24,12,16
faham,-0.23,7,9
da,-0.23,7,9
diutamakan,-0.23,7,9
kayanya,-0.23,7,9
gigi sakit,-0.23,16,22
tampak,-0.23,7,9
umum ramah,-0.23,16,22
ramah bagian,-0.23,18,25
petugas gigi,-0.23,7,9
pol,-0.22,36,52
lsg,-0.21,9,12
petugas petugas,-0.21,9,12
to,-0.21,51,75
moga,-0.21,9,12
sepeda,-0.21,9,12
senyum sapa,-0.21,9,12
sesi,-0.21,9,12
lama daftar,-0.21,9,12
ramah baru,-0.21,9,12
punya anak,-0.21,9,12
lebar,-0.2,11,15
apa lagi,-0.2,33,48
pemeriksaan lab,-0.2,11,15
bpjs gratis,-0.2,13,18
jga,-0.2,39,57
jarang,-0.2,13,18
bau,-0.2,11,15
terbatas,-0.19,19,27
anter,-0.19,15,21
mesin,-0.19,21,30
skrng,-0.19,17,24
dijelasin,-0.19,19,27
cs,-0.17,28,41
up,-0.17,28,41
dipoli,-0.17,28,41
pelayananny,-0.16,8,11
belum pernah,-0.16,12,17
bpk,-0.16,24,35
ngantar,-0.16,10,14
bersihin karang,-0.16,8,11
depan ramah,-0.16,10,14
ready,-0.16,8,11
bangetttt,-0.16,12,17
gigi selalu,-0.16,8,11
ditangani dokter,-0.16,8,11
berobat umum,-0.16,8,11
mendaftar,-0.13,38,57
sayang,-0.13,42,63
min,-0.12,19,28
buka 24,-0.12,19,28
perkembangan,-0.12,17,25
this,-0.12,13,19
motor,-0.12,60,91
made,-0.12,13,19
stay,-0.11,7,10
persiapan,-0.11,11,16
infeksius,-0.11,11,16
apakah masih,-0.11,9,13
baik kepada,-0.11,11,16
membersihkan karang,-0.11,9,13
kembang,-0.11,11,16
panjang,-0.11,61,93
bedakan,-0.11,11,16
rawat luka,-0.11,11,16
baik2,-0.11,99,152
rungkut,-0.11,7,10
umum lansia,-0.11,7,10
jkn,-0.1,55,84
datang sesuai,-0.1,22,33
deket,-0.09,33,50
mengutamakan,-0.09,18,27
soetomo,-0.09,18,27
dalam hal,-0.08,16,24
diterima,-0.08,27,41
meskipun,-0.08,124,192
indonesia,-0.07,23,35
that,-0.07,12,18
have,-0.07,10,15
tambal,-0.07,68,105
pasar,-0.07,12,18
tarif,-0.07,10,15
acara,-0.07,12,18
langsung dipanggil,-0.07,10,15
gawat darurat,-0.07,10,15
bosen,-0.06,8,12
kurang tau,-0.06,8,12
priksa gigi,-0.06,8,12
senyum ramah,-0.06,8,12
kali periksa,-0.06,46,71
fc,-0.06,8,12
chat,-0.06,8,12
rela,-0.06,8,12
terburu,-0.06,8,12
agak,-0.06,188,293
walaupun bpjs,-0.05,6,9
nilai,-0.05,17,26
pandemi,-0.05,17,26
periksa dipuskesmas,-0.05,6,9
daftar melalui,-0.05,6,9
kia petugas,-0.04,13,20
rata,-0.03,11,17
keramahan,-0.03,29,45
pernah berobat,-0.03,11,17
menunggu panggilan,-0.03,11,17
allah,-0.02,71,111
kali berobat,-0.02,18,28
antrinya lama,-0.02,18,28
keputih,-0.02,46,72
fotokopi,-0.01,9,14
susu,-0.01,23,36
dipisah,-0.01,9,14
terbilang,-0.0,7,11
yah,-0.0,21,33
semenjak,-0.0,7,11
masuk dalam,-0.0,7,11
dibutuhkan,-0.0,14,22
anggota,-0.0,7,11
pola,-0.0,7,11
igd 24,-0.0,7,11
memberi solusi,-0.0,7,11
dihargai,-0.0,7,11
konsultasi dokter,-0.0,7,11
kedepan baik,-0.0,7,11
disiplin,0.01,19,30
digital,0.02,10,16
pendatang,0.02,10,16
biaya,0.02,102,161
sayangnya,0.03,15,24
24jam,0.03,15,24
anak2,0.04,37,59
bertemu,0.04,13,21
semoga dokter,0.04,8,13
petugas administrasi,0.04,8,13
ukuran,0.04,13,21
antriannya lama,0.04,8,13
public,0.04,8,13
konsul,0.05,33,53
mengantar,0.06,26,42
kartu bpjs,0.06,16,26
dialami,0.06,6,10
diharapkan,0.06,6,10
renovasi,0.06,11,18
komunikasi baik,0.06,6,10
pelajaran,0.06,6,10
rek,0.06,6,10
disni,0.06,6,10
periksa kia,0.06,21,34
dr soetomo,0.06,16,26
kia,0.06,879,1389
lainnya,0.07,116,185
angin,0.07,19,31
disampaikan,0.07,19,31
qris,0.08,9,15
baik bagian,0.08,9,15
syarat,0.08,17,28
pagi2,0.08,9,15
petugase,0.08,9,15
kadang,0.09,62,100
melakukan,0.09,99,159
kota,0.09,111,178
maklum,0.09,12,20
terasa sakit,0.09,12,20
langsung ditangani,0.09,12,20
website,0.1,7,12
terburu buru,0.1,7,12
kopi,0.1,7,12
gigi cabut,0.1,7,12
masuk pendaftaran,0.1,7,12
kalangan,0.1,7,12
tinggal ambil,0.1,7,12
tingkatkan lagi,0.1,38,62
setempat,0.11,10,17
via online,0.11,10,17
asik,0.12,34,56
petugas2,0.14,8,14
petugasny,0.14,8,14
tumbuh kembang,0.14,8,14
tindakannya,0.14,11,19
ditambah lagi,0.14,8,14
triase,0.14,11,19
umum bpjs,0.14,8,14
kia imunisasi,0.14,8,14
kebetulan,0.14,56,92
menanggapi,0.14,11,19
peserta,0.14,22,37
mengurus,0.15,49,81
puskes,0.16,39,65
wa,0.16,75,123
bagian laboratorium,0.17,9,16
ig,0.17,9,16
sangatlah,0.17,12,21
sering periksa,0.17,6,11
periksa catin,0.17,6,11
vaksin boster,0.17,6,11
better,0.17,9,16
diantar,0.17,6,11
sabar sabar,0.17,6,11
menyebabkan,0.17,9,16
ramah cara,0.17,6,11
kepada petugas,0.17,6,11
sisi,0.17,9,16
bpjs tetap,0.17,6,11
bpjs kesehatan,0.17,12,21
kontrol kehamilan,0.17,9,16
terhadap,0.17,104,170
polll,0.17,15,26
letak,0.17,9,16
center,0.17,9,16
pertama kalinya,0.17,6,11
lagi baik,0.17,6,11
garda,0.17,6,11
untungnya,0.17,6,11
terutama dokter,0.19,16,28
gigi anak,0.19,38,64
awal masuk,0.19,13,23
diarahkan,0.19,72,119
menikah,0.19,13,23
ringan,0.19,16,28
periksa lab,0.19,10,18
tunggu lama,0.2,7,13
senin kamis,0.2,7,13
baik berobat,0.2,7,13
usg dokter,0.2,7,13
pelaksanaan,0.2,7,13
maksimal,0.2,44,74
dokter2,0.21,14,25
kb,0.21,58,97
dimulai,0.21,17,30
tuk,0.23,8,15
mengantarkan,0.23,8,15
respon baik,0.23,8,15
kasir ramah,0.23,8,15
it,0.24,27,47
dirawat,0.24,15,27
kia kb,0.25,5,10
penduduk,0.25,9,17
bidangnya,0.25,5,10
online offline,0.25,5,10
dr pendaftaran,0.25,9,17
sebab,0.25,5,10
dokter memberikan,0.25,9,17
lekas,0.25,5,10
terutama petugas,0.25,9,17
nggeh,0.25,9,17
konsisten,0.25,19,34
muda2,0.25,5,10
depan belakang,0.25,5,10
patut,0.25,9,17
unt,0.26,13,24
menerapkan,0.26,13,24
temui,0.27,10,19
jan,0.27,6,12
thn,0.27,10,19
tanya apa,0.27,10,19
bukan asli,0.27,10,19
ngejelasin,0.27,6,12
vct,0.27,6,12
apabila,0.27,23,41
experience,0.27,6,12
nambal,0.27,6,12
harga,0.27,20,36
tv,0.28,14,26
jkn mobile,0.29,11,21
over,0.29,7,14
mengurangi,0.29,7,14
pendaftaran kia,0.29,7,14
anak²,0.29,7,14
berkurang,0.29,7,14
pasienya,0.29,7,14
bumil,0.3,34,60
rekomended,0.31,12,23
dokter selalu,0.31,8,16
support,0.31,8,16
khususnya,0.32,53,92
baik²,0.32,16,30
utama,0.32,16,30
mojo,0.32,32,57
segala,0.33,30,54
bertugas,0.33,48,84
bgttt,0.33,9,18
tanya apakah,0.33,13,25
tertentu,0.33,13,25
front,0.34,17,32
who,0.35,5,11
merespon,0.35,10,20
pernah sakit,0.35,5,11
terbaru,0.35,5,11
antrinya,0.35,49,86
antreannya,0.35,5,11
apalagi petugas,0.35,5,11
tmbh,0.35,5,11
sosial,0.35,5,11
membingungkan,0.35,14,27
skr,0.35,5,11
baik cara,0.35,5,11
kipas angin,0.35,14,27
putat jaya,0.35,10,20
kehamilan,0.35,111,188
sirkulasi,0.35,5,11
ramah senyum,0.35,10,20
menuju,0.35,18,34
prosedurnya,0.35,14,27
priksa kehamilan,0.35,5,11
lama langsung,0.35,5,11
efisien,0.36,35,63
tunggu panas,0.37,6,13
kali gigi,0.37,6,13
jelasinnya,0.37,6,13
kemajuan,0.37,11,22
pendampingan,0.37,6,13
canggih,0.37,11,22
pelanggan,0.37,6,13
scalling gigi,0.37,6,13
kianya,0.37,6,13
muda ramah,0.37,6,13
berobat dokter,0.37,6,13
putat,0.37,11,22
rapid,0.38,7,15
sopan baik,0.38,7,15
menur,0.38,23,43
upgrade,0.38,7,15
be,0.4,8,17
pengetahuan,0.4,13,26
media,0.4,8,17
standby,0.4,8,17
rekomen,0.4,8,17
serba,0.4,8,17
was,0.41,14,28
dijelaskan baik,0.41,9,19
kendala,0.42,22,42
step,0.43,10,21
labnya,0.43,19,37
gundih,0.43,10,21
pemberian obat,0.44,11,23
professional,0.44,11,23
duduk menunggu,0.45,5,12
hati ramah,0.45,5,12
baru pindah,0.45,5,12
bp,0.45,12,25
informasi baik,0.45,5,12
kemarin periksa,0.46,6,14
scalling,0.46,17,34
apoteknya,0.46,6,14
poll,0.46,36,67
cabut,0.46,121,209
udara,0.47,7,16
kelahiran,0.47,7,16
check up,0.47,7,16
berasa,0.47,13,27
but,0.47,13,27
pustaka,0.47,7,16
lidah,0.48,8,18
standart,0.48,8,18
hipertensi,0.48,8,18
lagi terima,0.49,9,20
rp,0.49,9,20
kenjeran,0.49,9,20
pinter,0.49,9,20
perpanjang,0.49,15,31
mengikuti,0.5,16,33
tingkat,0.5,32,61
dipuskesmas,0.51,76,136
ramah kia,0.51,11,24
ambulance,0.51,11,24
full,0.52,34,65
membuat,0.52,108,190
kesehatan catin,0.52,12,26
recomended,0.53,13,28
responnya,0.53,13,28
iud,0.53,13,28
pendaftaran online,0.53,27,53
yuk,0.54,5,13
pembersihan karang,0.54,5,13
5000,0.54,5,13
rokok,0.54,5,13
melalui,0.54,36,69
kia dokter,0.54,5,13
sempurna,0.54,5,13
vaksinnya,0.55,7,17
vaksin ramah,0.55,4,11
tim medis,0.55,6,15
aktif,0.55,68,124
pertama periksa,0.55,4,11
petugas sopan,0.55,4,11
umum dokternya,0.55,4,11
worth it,0.55,4,11
wow,0.55,4,11
lega,0.55,6,15
mengobati,0.55,6,15
desa,0.55,7,17
kurang memadai,0.55,4,11
palayanan,0.55,7,17
terang,0.55,4,11
baik umum,0.55,6,15
worth,0.55,4,11
jajan,0.55,4,11
sistem baik,0.55,4,11
sy berobat,0.55,4,11
dok,0.55,71,129
lumayan lama,0.56,8,19
berpengalaman,0.56,8,19
humanis,0.56,9,21
semoga depannya,0.57,10,23
pengalaman pertama,0.57,10,23
sesuai prosedur,0.57,22,45
bgtt,0.57,17,36
polinya,0.58,18,38
pelit,0.58,11,25
bangettt,0.59,24,49
teliti,0.59,58,108
jiwa,0.6,14,31
klaster,0.61,15,33
lembut,0.61,15,33
banyu,0.61,15,33
mendengarkan,0.62,16,35
ramah kepada,0.62,16,35
khususnya kia,0.63,5,14
dokter profesional,0.63,6,16
lagi kedepannya,0.63,6,16
kekurangan,0.63,6,16
dokter bagus,0.63,6,16
membalas,0.63,5,14
memberi informasi,0.63,7,18
daftar via,0.63,7,18
tambalan,0.63,9,22
tentang,0.63,83,152
alur pendaftaran,0.63,7,18
kesehatan anak,0.63,5,14
padat,0.63,5,14
khawatir,0.63,8,20
memuaskan terutama,0.63,7,18
terkhusus,0.63,5,14
penyampaiannya,0.63,6,16
membedakan,0.63,6,16
ramah bintang,0.64,11,26
masalah gigi,0.64,4,12
luar kota,0.64,33,66
alloh,0.64,4,12
luar daerah,0.64,4,12
pengap,0.64,4,12
lantai,0.64,18,39
tama,0.64,4,12
lain ramah,0.64,10,24
usgnya,0.64,4,12
arahan baik,0.64,4,12
apotekernya,0.64,10,24
here,0.64,10,24
sepeda motor,0.64,4,12
services,0.64,4,12
scaling,0.65,19,41
dokter gigi,0.66,150,266
segi,0.68,33,67
mengerti,0.69,30,62
mobile jkn,0.7,19,42
kesulitan,0.7,9,23
tulus,0.7,8,21
menjelaskan secara,0.7,7,19
menurutku,0.7,9,23
sngat,0.7,8,21
selaku,0.7,7,19
petugas laboratorium,0.7,9,23
apalagi dokternya,0.71,6,17
karangayu,0.71,6,17
jalan,0.71,100,184
tahap,0.71,6,17
kebingungan,0.71,6,17
pembuatan surat,0.72,5,15
ramah terhadap,0.72,13,31
banyu urip,0.72,14,33
baby,0.72,5,15
tingkat pertama,0.72,5,15
pengambilan obatnya,0.72,5,15
lidah kulon,0.72,5,15
pelayanane,0.72,5,15
kompeten,0.72,42,84
bpjs anak,0.72,5,15
njih,0.73,4,13
wonokromo,0.73,16,37
lainnya baik,0.73,4,13
keliling,0.73,4,13
kursinya,0.73,4,13
permudah,0.73,4,13
poligigi,0.73,4,13
mengenai,0.75,41,83
mobile,0.75,32,67
sesuai sop,0.77,11,28
penangan,0.77,8,22
mengedukasi,0.77,10,26
memahami,0.77,11,28
ucapkan,0.77,8,22
balas,0.77,8,22
permasalahan,0.77,8,22
staff dokter,0.77,8,22
siwalankerto,0.77,10,26
enak,0.78,226,399
urip,0.78,14,34
instagram,0.78,7,20
pertemuan,0.79,6,18
papan,0.79,6,18
bpjs baik,0.79,6,18
boster,0.79,6,18
vaksin covid,0.79,17,40
cuci,0.79,6,18
siap,0.79,46,93
front office,0.79,6,18
pkg,0.79,6,18
ditingkatkan lagi,0.8,52,104
pbi,0.8,5,16
dokter suster,0.8,5,16
memberikan ramah,0.8,5,16
mengarahkan baik,0.8,5,16
tengah,0.81,34,72
sempit,0.81,21,48
semoga petugas,0.82,4,14
minusnya,0.82,4,14
uptd,0.82,4,14
tuntas,0.82,4,14
apik,0.82,4,14
imunisasi anak,0.82,41,85
trimaksih,0.82,4,14
baik meskipun,0.82,4,14
vaksinasi,0.82,30,65
anak kedua,0.82,4,14
hiv,0.82,4,14
bebas,0.83,14,35
petunjuk,0.83,11,29
trims,0.83,13,33
dn,0.83,52,105
asemrowo,0.83,12,31
lumayan baik,0.84,3,12
berobat dipuskesmas,0.84,3,12
sertifikat imunisasi,0.84,3,12
halaman,0.84,9,25
pencabutan,0.84,8,23
aktifkan,0.84,3,12
kpd,0.84,16,39
