id_puskesmas,dimensi,z,p_value,vs_peer,n_peer
PKM_SMG_036,Empathy,0.285,0.7756,setara,8213
PKM_SMG_037,Empathy,-0.701,0.4833,setara,8255
PKM_BTL_001,Reliability,-1.621,0.1049,setara,8240
PKM_BTL_002,Reliability,-1.006,0.3145,setara,8198
PKM_BTL_003,Reliability,-1.107,0.2685,setara,8178
PKM_BTL_004,Reliability,-2.86,0.0042,lebih jarang dikeluhkan,8199
PKM_BTL_005,Reliability,0.409,0.6826,setara,8217
PKM_BTL_006,Reliability,-1.365,0.1724,setara,8234
PKM_BTL_007,Reliability,-2.112,0.0347,lebih jarang dikeluhkan,8248
PKM_BTL_008,Reliability,-0.041,0.967,setara,8258
PKM_BTL_009,Reliability,0.891,0.373,setara,8243
PKM_BTL_010,Reliability,-0.623,0.5335,setara,8239
PKM_BTL_011,Reliability,1.45,0.1471,setara,8236
PKM_BTL_012,Reliability,-0.241,0.8093,setara,8255
PKM_BTL_013,Reliability,-2.299,0.0215,lebih jarang dikeluhkan,8119
PKM_BTL_014,Reliability,0.681,0.4959,setara,8183
PKM_BTL_015,Reliability,0.894,0.3711,setara,8241
PKM_BTL_016,Reliability,-0.358,0.7202,setara,8236
PKM_BTL_017,Reliability,-0.313,0.7542,setara,8234
PKM_BTL_018,Reliability,-0.059,0.9533,setara,8249
PKM_BTL_019,Reliability,1.257,0.2086,setara,8227
PKM_BTL_020,Reliability,-0.356,0.7217,setara,8220
PKM_BTL_021,Reliability,1.836,0.0663,setara,8238
PKM_BTL_022,Reliability,-0.999,0.3179,setara,8244
PKM_BTL_023,Reliability,0.519,0.604,setara,8239
PKM_BTL_024,Reliability,0.894,0.3711,setara,8241
PKM_BTL_025,Reliability,0.498,0.6188,setara,8151
PKM_BTL_026,Reliability,-0.21,0.8334,setara,8156
PKM_BTL_027,Reliability,-0.111,0.9115,setara,8251
PKM_SBY_001,Reliability,2.04,0.0413,lebih sering dikeluhkan,8239
PKM_SBY_002,Reliability,-2.144,0.032,lebih jarang dikeluhkan,8239
PKM_SBY_003,Reliability,2.219,0.0265,lebih sering dikeluhkan,8181
PKM_SBY_004,Reliability,1.791,0.0732,setara,8201
PKM_SBY_005,Reliability,0.186,0.8525,setara,8121
PKM_SBY_006,Reliability,1.55,0.1212,setara,8144
PKM_SBY_007,Reliability,0.185,0.853,setara,8110
PKM_SBY_008,Reliability,0.678,0.498,setara,8123
PKM_SBY_009,Reliability,-1.596,0.1104,setara,8192
PKM_SBY_010,Reliability,-0.034,0.9728,setara,8198
PKM_SBY_011,Reliability,1.612,0.107,setara,8157
PKM_SBY_012,Reliability,-0.475,0.6347,setara,8203
PKM_SBY_013,Reliability,-1.204,0.2287,setara,8118
PKM_SBY_014,Reliability,1.187,0.2351,setara,8196
PKM_SBY_015,Reliability,-1.635,0.102,setara,8209
PKM_SBY_016,Reliability,0.962,0.3359,setara,8152
PKM_SBY_017,Reliability,-2.251,0.0244,lebih jarang dikeluhkan,8167
PKM_SBY_018,Reliability,0.958,0.3382,setara,8194
PKM_SBY_019,Reliability,0.277,0.7821,setara,8179
PKM_SBY_020,Reliability,1.046,0.2954,setara,8201
PKM_SBY_021,Reliability,1.783,0.0746,setara,8189
PKM_SBY_022,Reliability,0.715,0.4748,setara,8238
PKM_SBY_023,Reliability,-1.553,0.1203,setara,8190
PKM_SBY_024,Reliability,-0.907,0.3644,setara,8266
PKM_SBY_025,Reliability,2.568,0.0102,lebih sering dikeluhkan,8186
PKM_SBY_026,Reliability,1.546,0.122,setara,8215
PKM_SBY_027,Reliability,-1.006,0.3143,setara,8158
PKM_SBY_028,Reliability,2.229,0.0258,lebih sering dikeluhkan,8185
PKM_SBY_029,Reliability,0.761,0.4469,setara,8207
PKM_SBY_030,Reliability,0.797,0.4254,setara,8182
